id,category,name,address,phone,site,notes
93,中華,福華大飯店-蓬萊邨 Formosa,臺北市大安區仁愛路3段160號B1,02-2326-7433,https://goo.gl/9Q6Nv7,
94,中華,聚馥園,臺北市中山區南京東路3段219號3樓,02-2718-5588,https://bit.ly/2SZ0sQp,
95,中華,熱海大飯店-熱海廳,臺北市北投區光明路258號,02-2892-1366,https://goo.gl/6qzUgT,
96,中華,雞家莊(六條通店),臺北市中山區中山北路1段105巷9號,02-2541-8261,https://goo.gl/nwHeXL,2019米其林餐盤(長春店)、2018米其林餐盤(長春店)
97,中華,鬍鬚張美食文化館,臺北市大同區寧夏路62 號,02-2558-9489,https://goo.gl/MU4W48,
98,美墨,肉舖廚房,臺北市中山區玉門街1號,02-2597-1506,https://goo.gl/ub73mr,
99,美墨,Danny's WhatsGrill,臺北市內湖區洲子街105號,02-2656-0011,https://goo.gl/KRGnKb,
100,美墨,GB鮮釀餐廳(新光三越A11館),臺北市信義區松壽路11號2樓 ,02-8786-7588,https://goo.gl/F4dgYS,
101,美墨,Lawry's 勞瑞斯牛肋排餐廳,臺北市信義區松仁路105號B1 (克緹國際大樓),02-2729-8555,https://goo.gl/xwTQSd,
102,美墨,Macho Tacos瑪丘墨式餅舖(延吉店),臺北市大安區延吉街126巷3號 ,02-2731-4489,https://reurl.cc/Rm5jr,
103,美墨,O'Steak,臺北市大安區金華街164巷1弄6號1樓,02-2393-1616,https://goo.gl/NpXGWQ,
104,美墨,PICO PICO Restaurant & Bar,臺北市大安區安和路1段102巷28號,02-2755-1161,https://goo.gl/JNUz35,
105,美墨,Ruth's Chris,臺北市松山區民生東路3段135號,02-2545-8888,https://goo.gl/8C3Jvf,
106,美墨,the Chips美式餐廳(光復店),臺北市大安區光復南路280巷37號,02-2778-9993,https://goo.gl/iLQc1X,
107,美墨,Twinkeyz Tacos,臺北市大安區延吉街131巷7之1號,02-2778-7707,https://goo.gl/BzEFDR,
108,美墨,艾迪墨西哥餐廳(天母2店),臺北市士林區天母東路63號,02-2872-1848,https://goo.gl/jDyTcY,
109,美墨,洋旗洋蔥牛排餐廳,臺北市大安區羅斯福路3段245號2F,02-2367-2559,https://goo.gl/G2mmos,
110,美墨,發福廚房(民權店),臺北市松山區民權東路3段140巷7號,02-2713-5923,https://goo.gl/ab6nq2,
111,美墨,貳樓(敦南店),臺北市大安區敦化南路2段63巷14號,02-2700-9855,https://goo.gl/3UTMaj,
112,美墨,台北寶萊納餐廳(關渡店),臺北市北投區學園路1號,02-2891-7677,https://goo.gl/YQMLz4,
113,南洋,小紅點新加坡廚房 (Red.),臺北市大安區大安路1段51巷30號1樓,02-2779-0160,https://goo.gl/unV1qe,
114,南洋,金爸爸南港店,臺北市南港區經貿二路166號1樓,02-2785-7677,https://goo.gl/xCqW8v,
115,南洋,TAJ泰姬印度餐廳,臺北市大安區市民大道4段48巷1號,02-8773-0175,https://reurl.cc/9ae1x,
116,南洋,Thai&Thai Restaurant,臺北市松山區敦化北路158號5樓,02-2719-6689,https://goo.gl/as7xye,2019米其林餐盤、2018米其林餐盤
117,南洋,台北泰(民生店),臺北市松山區民生東路5段164號1樓,02-3765-2352,https://goo.gl/JANjXu,
118,南洋,瓦城(南港車站店),臺北市南港區忠孝東路7段369號8樓 (City Link C棟),02-2785-6522,https://goo.gl/ATFzmW,
119,南洋,坦都印度餐廳,臺北市中山區合江街73巷10號,02-2509-9853,https://goo.gl/m1TJvg,
120,南洋,非常泰,臺北市信義區松壽路22號2樓,02-8789-6200,https://goo.gl/NgjN2m,
121,南洋,香米泰國料理,臺北市中山區復興北路174號1樓,02-8770-7309,https://goo.gl/WC5M69,
122,南洋,香色,臺北市中正區湖口街1之2號,02-2358-1819,https://goo.gl/a3rW7h,
123,南洋,香茅廚泰式餐廳,臺北市松山區復興南路1段39號G樓,02-6600-3210,https://goo.gl/k2KtBi,
124,南洋,香料屋印度料理The Spice Shop Indian Cuisine,臺北市士林區天母東路50巷10弄6號,02-2873-7775,https://goo.gl/Jg1WvK,
125,南洋,泰集,臺北市信義區忠孝東路五段68號4樓,02-2722 8618,https://reurl.cc/5zjp6,
126,南洋,台北喜來登大飯店-SUKHOTHAI,臺北市中正區忠孝東路1段12號2樓,02-2321-1818,https://goo.gl/UtVEMR,
127,南洋,馬友友印度廚房,臺北市中山區新生北路1段38號,02-2543-1817,https://goo.gl/KsU3Km,
128,南洋,越香蘭,臺北市士林區中山北路五段604號,02-2836-1256,https://goo.gl/cremXw,
129,南洋,誠記越南麵食館,臺北市大安區永康街6巷1號,02-2321-1579,https://goo.gl/eJS3Ta,
130,南洋,饗泰多泰式風格餐廳,臺北市信義區松高路16號3樓,02-2722-1728,https://goo.gl/DjhD8y,
